accusedmasterid,accusedname,case_count,gang_member,account_count,total_transaction_volume,call_count,violent_ratio,risk_score,anomaly
1,Oviya Gupta,1,0,0,0.0,1,0.0,0.0,1
2,Fariq Lal,1,0,1,602548.9,1,0.0,34.26139174015722,1
3,Yutika Sarin,1,0,0,0.0,1,0.0,0.0,1
4,Ranveer Swaminathan,1,0,0,0.0,1,0.0,0.0,1
5,Indira Sharaf,1,0,0,0.0,1,0.0,0.0,1
6,Nilima Biswas,1,0,0,0.0,0,0.0,5.259405546252918,1
7,Januja Dave,1,0,3,14999240.76,3,0.0,78.78805204379323,-1
8,Chandani Sampath,1,0,0,0.0,1,0.0,0.0,1
9,Hiral Golla,1,0,0,0.0,0,0.0,5.259405546252918,1
10,Vedika Luthra,1,0,0,0.0,1,0.0,0.0,1
11,Ranbir Gupta,1,0,0,0.0,1,0.0,0.0,1
12,Ekbal Atwal,1,0,0,0.0,3,0.0,20.407339944972712,1
13,Nirja Sachdev,1,0,0,0.0,0,0.0,5.259405546252918,1
14,Maya Shetty,1,0,0,0.0,2,0.0,7.000792908036693,1
15,Bhavya Chana,1,0,0,0.0,1,0.0,0.0,1
16,Urvashi Sarna,1,0,0,0.0,2,0.0,7.000792908036693,1
17,Irya Bora,1,0,0,0.0,2,0.0,7.000792908036693,1
18,Rachit Bhatnagar,1,0,0,0.0,0,0.0,5.259405546252918,1
19,Vedika Sankar,1,0,1,3058676.56,2,0.0,47.36037894609947,1
20,Xiti Gour,1,0,0,0.0,1,0.0,0.0,1
21,Aayush Savant,1,0,3,5460803.29,1,0.0,42.205332624306784,1
22,Keya Nanda,1,0,0,0.0,0,0.0,5.259405546252918,1
23,Tanvi Oommen,1,0,0,0.0,0,0.0,5.259405546252918,1
24,Eesha Pradhan,1,0,0,0.0,0,0.0,5.259405546252918,1
25,Aarna Mittal,1,0,0,0.0,0,0.0,5.259405546252918,1
26,Eshana Varkey,1,0,0,0.0,1,0.0,0.0,1
27,Tripti Gandhi,1,0,0,0.0,1,0.0,0.0,1
28,Edhitha Ghose,1,0,2,26571350.37,3,0.0,85.49720982062297,-1
29,Mahika Shetty,1,0,1,7308695.9,2,0.0,57.037811484423784,-1
30,Chandresh Karan,1,0,0,0.0,1,0.0,0.0,1
31,Triveni Rajagopal,1,0,0,0.0,0,1.0,29.05812705774378,1
32,Jeevika Rattan,1,0,0,0.0,2,1.0,32.74227984684854,1
33,Tripti Gandhi,1,0,0,0.0,1,1.0,21.477503289656326,1
34,Rayaan Chawla,1,0,3,10301793.91,1,1.0,78.6095062654363,-1
35,Radha Kulkarni,1,0,0,0.0,3,0.0,20.407339944972712,1
36,Yashica Rattan,1,0,1,1815924.07,0,0.0,41.94220621808282,1
37,Inaya Mangat,1,0,0,0.0,0,0.0,5.259405546252918,1
38,Krishna Merchant,1,0,0,0.0,1,0.0,0.0,1
39,Avni Wason,1,0,0,0.0,2,0.0,7.000792908036693,1
40,Ryan Bains,1,0,0,0.0,2,0.0,7.000792908036693,1
41,Devika Sura,1,0,0,0.0,0,0.0,5.259405546252918,1
42,Nimrat Sidhu,1,0,0,0.0,3,0.0,20.407339944972712,1
43,Leena Balan,1,0,0,0.0,0,0.0,5.259405546252918,1
44,Vaishnavi Vohra,1,0,1,822521.88,2,0.0,41.438352478790705,1
45,Ridhi Venkataraman,1,0,0,0.0,3,0.0,20.407339944972712,1
46,Jagrati Grewal,1,0,0,0.0,2,0.0,7.000792908036693,1
47,Januja Raval,1,0,0,0.0,3,0.0,20.407339944972712,1
48,Bhavika Rout,1,0,0,0.0,0,0.0,5.259405546252918,1
49,Azad Bakshi,1,0,0,0.0,0,0.0,5.259405546252918,1
50,Krishna Merchant,1,0,0,0.0,1,0.0,0.0,1
51,Lipika Dhar,1,0,0,0.0,1,0.0,0.0,1
52,Gunbir Grover,1,0,0,0.0,2,0.0,7.000792908036693,1
53,Bhanumati Raman,1,0,3,2553562.98,0,0.0,51.47708011328699,1
54,Kala Chanda,1,0,1,1966250.13,1,0.0,35.59474512581949,1
55,Hemal Keer,1,0,0,0.0,4,0.0,48.107155657708,1
56,Kavya Sarkar,1,0,0,0.0,1,1.0,21.477503289656326,1
57,Chaman Badami,1,0,3,7118633.59,0,1.0,74.97180589728816,-1
58,Advay Lad,1,0,0,0.0,0,1.0,29.05812705774378,1
59,Amrita Nori,1,0,0,0.0,0,1.0,29.05812705774378,1
60,Aradhana Dhar,1,0,2,9738748.2,3,1.0,81.41334970556323,-1
61,Baljiwan Sama,1,0,0,0.0,0,0.0,5.259405546252918,1
62,Bhavini Nath,1,0,0,0.0,1,0.0,0.0,1
63,Yashica Zacharia,1,0,0,0.0,2,0.0,7.000792908036693,1
64,Harini Tripathi,1,0,0,0.0,1,1.0,21.477503289656326,1
